,title,artist,lyrics
Oh, woah, woah, oh, oh, woah, woah, oh
Don't stop, make it pop, DJ, blow my speakers up
Tonight, I'ma fight 'til we see the sunlight
Tick tock on the clock, but the party don't stop, no
Oh, woah, woah, oh, oh, woah, woah, oh58Embed"
3,Bad Romance,Lady Gaga,"Oh-oh-oh-oh-oh, oh-oh-oh-oh, oh-oh-oh
Caught in a bad romance
Oh-oh-oh-oh-oh, oh-oh-oh-oh, oh-oh-oh
Caught in a bad romance

Ra-ra, ah-ah-ah, roma, roma-ma
Gaga, oh, la-la, want your bad romance
Ra-ra-ah-ah-ah, roma, roma-ma
Gaga, oh, la-la, want your bad romance
I want your ugly, I want your disease
I want your everything as long as it's free
I want your love
Love, love, love, I want your love (Oh, ey)
I want your drama, the touch of your hand (Hey!)
I want your leather-studded kiss in the sand
I want your love
Love, love, love, I want your love
(Love, love, love, I want your love)

You know that I want you
And you know that I need you
I want it bad, your bad romance

I want your love, and I want your revenge
You and me could write a bad romance (Oh-oh-oh-oh-oh)
I want your love, and all your lover's revenge
You and me could write a bad romance
Oh-oh-oh-oh-oh, oh-oh-oh-oh, oh-oh-oh
Caught in a bad romance
Oh-oh-oh-oh-oh, oh-oh-oh-oh, oh-oh-oh
Caught in a bad romance
You might also like
Ra-ra, ah-ah-ah, roma-roma-ma
Gaga, oh, la-la, want your bad romance

I want your horror, I want your design
'Cause you're a criminal as long as you're mine
I want your love
Love, love, love, I want your love (Uh)
I want your psycho, your vertigo schtick (Hey!)
Want you in my rear window, baby, you're sick
I want your love
Love, love, love, I want your love
(Love, love, love, I want your love)

You know that I want you
And you know that I need you ('Cause I'm a free bitch, baby)
I want it bad, your bad romance

I want your love, and I want your revenge
You and me could write a bad romance (Oh-oh-oh-oh-oh)
I want your love, and all your lover's revenge
You and me could write a bad romance
Oh-oh-oh-oh-oh, oh-oh-oh-oh, oh-oh-oh
Caught in a bad romance
Oh-oh-oh-oh-oh, oh-oh-oh-oh, oh-oh-oh
Caught in a bad romance
Ra-ra-ah-ah-ah, roma-roma-ma
Gaga, oh, la-la, want your bad romance

Walk, walk, fashion, baby
Work it, move that bitch crazy
Walk, walk, fashion, baby
Work it, move that bitch crazy
Walk, walk, fashion, baby
Work it, move that bitch crazy
Walk, walk, passion, baby
Work it, I'm a free bitch, baby

I want your love, and I want your revenge
I want your love, I don't wanna be friends
Je veux ton amour, et je veux ta revanche
Je veux ton amour, I don't wanna be friends
(Oh-oh-oh-oh-oh, oh-oh-oh-oh, oh-oh-oh)
(I want you back) No, I don't wanna be friends
(Caught in a bad romance) I don't wanna be friends
Want your bad romance
(Caught in a bad romance) Want your bad romance

I want your love, and I want your revenge
You and me could write a bad romance (Oh-oh-oh-oh-oh)
I want your love, and all your lover's revenge
You and me could write a bad romance
Oh-oh-oh-oh-oh, oh-oh-oh-oh, oh-oh-oh
(Want your bad romance)
Caught in a bad romance (Want your bad romance)
Oh-oh-oh-oh-oh, oh-oh-oh-oh, oh-oh-oh
(Want your bad romance)
Caught in a bad romance

Ra-ra-ah-ah-ah, roma, roma-ma
Gaga, oh, la-la, want your bad romance72Embed"
4,Just the Way You Are,Bruno Mars,"Oh, oh-oh-oh
Oh-oh-oh-oh
Oh-oh-oh

Oh, her eyes, her eyes
Make the stars look like they're not shinin'
Her hair, her hair
Falls perfectly without her tryin'
She's so beautiful
And I tell her every day
Yeah, I know, I know
When I compliment her, she won't believe me
And it's so, it's so sad to think that she don't see what I see
But every time she asks me, ""Do I look okay?"" I say
When I see your face (Face, face)
There's not a thing that I would change
'Cause you're amazing (Amazing)
Just the way you are (Are)
And when you smile (Smile, smile)
The whole world stops and stares for a while
'Cause, girl, you're amazing (Amazing)
Just the way you are (Are)
Yeah

Her lips, her lips
I could kiss them all day if she'd let me
Her laugh, her laugh
She hates, but I think it's so sexy
She's so beautiful, and I tell her every day
Oh, you know, you know, you know
I'd never ask you to change
If perfect's what you're searching for
Then just stay the same
So don't even bother askin' if you look okay
You know I'll say

When I see your face (Face, face)
There's not a thing that I would change
'Cause you're amazing (Amazing)
Just the way you are (Are)
And when you smile (Smile, smile)
The whole world stops and stares for a while
'Cause, girl, you're amazing (Amazing)
Just the way you are (Are)
See Bruno Mars LiveGet tickets as low as $210You might also like
The way you are
The way you are
Girl, you're amazing (Amazing)
Just the way you are (Are)

When I see your face
There's not a thing that I would change
'Cause you're amazing (Amazing)
Just the way you are (Are)
And when you smile
The whole world stops and stares for a while
'Cause, girl, you're amazing
Just the way you are

Yeah52Embed"
5,Baby,Justin Bieber,"Oh, woah-oh-oh-oh-oh
Oh, woah-oh-oh-oh, oh
Oh, woah, oh-oh-oh, oh, oh-oh, oh, oh-oh, oh

You know you love me, I know you care (Yo, uh-huh)
Just shout whenever and I'll be there (Yo, uh-huh)
You are my love, you are my heart (Yo, uh-huh)
And we will never, ever, ever be apart (Yo, uh-huh)
Are we an item? Girl, quit playin' (Yo, uh-huh)
We're just friends, what are you sayin'? (Yo, uh-huh)
Said, ""There's another"" and looked right in my eyes (Yo, uh-huh)
My first love broke my heart for the first time, and I was like (Yo, uh-huh)
Baby, baby, baby, oh
Like baby, baby, baby, no
Like baby, baby, baby, oh
Thought you'd always be mine, mine
Baby, baby, baby, oh
Like baby, baby, baby, no
Like baby, baby, baby, oh
Thought you'd always be mine, mine

Oh, for you, I would've done whatever (Yo, uh-huh)
And I just can't believe we ain't together (Yo, uh-huh)
And I wanna play it cool, but I'm losin' you (Yo, uh-huh)
I'll buy you anything, I'll buy you any ring (Yo, uh-huh)
And I'm in pieces, baby, fix me (Yo, uh-huh)
And just shake me till you wake me from this bad dream (Yo, uh-huh)
I'm goin' down, down, down, down (Yo, uh-huh)
And I just can't believe my first love won't be around, and I'm like

Baby, baby, baby, oh
Like baby, baby, baby, no
Like baby, baby, baby, oh
Thought you'd always be mine, mine
Baby, baby, baby, oh
Like baby, baby, baby, no
Like baby, baby, baby, oh
Thought you'd always be mine, mine
See Justin Bieber LiveGet tickets as low as $74You might also like
(Luda) When I was thirteen, I had my first love
There was nobody that compared to my baby, and nobody came between us nor could ever come above
She had me goin' crazy, oh, I was starstruck
She woke me up daily, don't need no Starbucks (Woo)
She made my heart pound, and skip a beat when I see her in the street and
At school on the playground, but I really wanna see her on the weekend
She knows she got me dazing 'cause she was so amazin'
And now my heart is breakin', but I just keep on sayin'

Baby, baby, baby, oh
Like baby, baby, baby, no
Like baby, baby, baby, oh
Thought you'd always be mine, mine
Baby, baby, baby, oh
Like baby, baby, baby, no
Like baby, baby, baby, oh
Thought you'd always be mine, mine

I'm gone (Yeah-yeah-yeah, yeah-yeah-yeah)
Now I'm all gone (Yeah-yeah-yeah, yeah-yeah-yeah)
Now I'm all gone (Yeah-yeah-yeah, yeah-yeah-yeah)
Now I'm all gone (Gone, gone, gone, gone), I'm gone72Embed"
6,Dynamite,Taio Cruz,"I came to dance, dance, dance, dance (Yeah)
I hit the floor 'cause that's my plans, plans, plans, plans (Yeah)
I'm wearing all my favorite brands, brands, brands, brands (Yeah)
Give me some space for both my hands, hands, hands, hands, yeah, yeah

'Cause it goes on and on and on
And it goes on and on and on, yeah

I throw my hands up in the air sometimes
Sayin' ""Ayo, gotta let go""
I wanna celebrate and live my life
Sayin' ""Ayo, baby, let's go""
'Cause we gon' rock this club
We gon' go all night
We gon' light it up
Like it's dynamite
'Cause I told you once
Now I told you twice
We gon' light it up
Like it's dynamite

I came to move, move, move, move (Yeah)
Get out the way of me and my crew, crew, crew, crew (Yeah)
I'm in the club so I'm gonna do, do, do, do (Yeah)
Just what the fuck, came here to do, do, do, do (Yeah)
Yeah, yeah

'Cause it goes on and on and on
And it goes on and on and on, yeah

I throw my hands up in the air sometimes
Sayin' ""Ayo, gotta let go""
I wanna celebrate and live my life
Sayin' ""Ayo, baby, let's go""
You might also like
'Cause we gon' rock this club
We gon' go all night
We gon' light it up
Like it's dynamite
'Cause I told you once
Now I told you twice
We gon' light it up
Like it's dynamite

I'm gonna take it all, I
I'm gonna be the last one standing
Higher overall, I
I'm gonna be the last one landing
'Cause I, I, I believe it
And I, I, I, I just want it all
I just want it all
I'm gonna put my hands in the air
Hands, hands in the air
Put yo' hands in the air

I throw my hands up in the air sometimes
Sayin' ""Ayo, gotta let go""
I wanna celebrate and live my life
Sayin' ""Ayo, baby, let's go""
'Cause we gon' rock this club
We gon' go all night
We gon' light it up
Like it's dynamite
'Cause I told you once
Now I told you twice
We gon' light it up
Like it's dynamite22Embed"
7,Secrets,OneRepublic,"I need another story
Something to get off my chest
My life gets kinda boring
Need something that I can confess
'Til all my sleeves are stained red
From all the truth that I've said
Come by it honestly I swear
Thought you saw me wink, no
I've been on the brink, so
So tell me what you want to hear
Something that will light those ears
I'm sick of all the insincere
So I'm gonna give all my secrets away
This time
Don't need another perfect lie
Don't care if critics ever jump in line
I'm gonna give all my secrets away

My God, amazing how we got this far
It's like we're chasing all those stars
Who's driving shiny big black cars
And every day I see the news
All the problems that we could solve
And when a situation rises
Just write it into an album
Send it straight to gold
But I don't really like my flow, no

So tell me what you want to hear
Something that will light those ears
I'm sick of all the insincere
So I'm gonna give all my secrets away
This time
Don't need another perfect lie
Don't care if critics ever jump in line
I'm gonna give all my secrets away
See OneRepublic LiveGet tickets as low as $24You might also like
Ooh
Got no reason, got no shame
Got no family I can blame
Just don't let me disappear
I'ma tell you everything

So tell me what you want to hear
Something that'll light those ears
I'm sick of all the insincere
So I'm gonna give all my secrets away
This time
Don't need another perfect lie
Don't care if critics ever jump in line
I'm gonna give all my secrets away
So tell me what you want to hear
Something that'll light those ears
I'm sick of all the insincere
So I'm gonna give all my secrets away
This time
Don't need another perfect lie
Don't care if critics ever jump in line
I'm gonna give all my secrets away

All my secrets away
All my secrets away77Embed"
8,Empire State of Mind (Part II) Broken Down,Alicia Keys,"Ooooh, New York
Ooooh, New York

Grew up in a town that is famous as a place of movie scenes
Noise is always loud, there are sirens all around and the streets are mean
If I can make it here, I can make it anywhere, that's what they say
Seein' my face in lights or my name in marquees found down on Broadway

Even if it ain't all it seems, I got a pocketful of dreams
Baby, I'm from New York
Concrete jungle where dreams are made of
There's nothin' you can't do
Now you're in New York
These streets will make you feel brand-new
Big lights will inspire you
Hear it for New York, New York, New York
On the avenue, there ain't ever a curfew, ladies work so hard
Such a meltin' pot, on the corner sellin' rock, preachers pray to God
Hail a gypsy cab, takes me down from Harlem to the Brooklyn Bridge
Someone sleeps tonight with a hunger far more than an empty fridge

I'ma make it by any means, I got a pocketful of dreams
Baby, I'm from New York
Concrete jungle where dreams are made of
There's nothin' you can't do
Now you're in New York
These streets will make you feel brand-new
Big lights will inspire you
Hear it for New York, New York, New York

One hand in the air for the big city
Street lights, big dreams, all lookin' pretty
No place in the world that can compare
Put your lighters in the air, everybody say
""Yeah, yeah! Yeah, yeah!""

In New York
Concrete jungle where dreams are made of
There's nothin' you can't do
Now you're in New York
These streets will make you feel brand-new
Big lights will inspire you
Hear it for New YorkYou might also like18Embed"
9,Only Girl (In The World),Rihanna,"La-la-la-la
La-la-la-la
La-la-la-la (Uh, yeah)
La-la-la-la

I want you to love me
Like I'm a hot ride (Uh, yeah)
Be thinking of me (Uh)
Doing what you like (Haha)
So, boy, forget about the world
'Cause it's gon' be me and you tonight (Yeah)
I wanna make you beg for it
Then I'ma make you swallow your pride, oh (Uh, uh)
Want you to make me feel
Like I'm the only girl in the world
Like I'm the only one that you'll ever love
Like I'm the only one who knows your heart
Only girl in the world
Like I'm the only one that's in command
'Cause I'm the only one who understands
How to make you feel like a man, yeah
Want you to make me feel
Like I'm the only girl in the world
Like I'm the only one that you'll ever love
Like I'm the only one who knows your heart
Only one

Want you to take it (Uh)
Like a thief in the night (Uh)
Hold me like a pillow
Make me feel right (Uh)
Baby, I'll tell you all my secrets that I'm keeping
You can come inside (Yeah)
And when you enter, you ain't leaving
Be my prisoner for the night, oh

Want you to make me feel
Like I'm the only girl in the world
Like I'm the only one that you'll ever love
Like I'm the only one who knows your heart
Only girl in the world
Like I'm the only one that's in command
'Cause I'm the only one who understands
Like I'm the only one who knows your heart
Only one
You might also like
Take me for a ride, ride
Oh, baby, take me high, high
Let me make you rise, rise
Oh, make it last all night, night
Take me for a ride, ride
Oh, baby, take me high, high
Let me make you rise, rise
Make it last all night

Want you to make me feel
Like I'm the only girl in the world
Like I'm the only one that you'll ever love
Like I'm the only one who knows your heart
Only girl in the world
Like I'm the only one that's in command
'Cause I'm the only one who understands
How to make you feel like a man
Only girl in the world
Girl in the world
Only girl in the world
Girl in the world34Embed"
10,Club Can't Handle Me (feat. David Guetta),Flo Rida,"You know I know how
To make 'em stop and stare as I zone out
The club can't even handle me right now
Watchin' you watchin' me, I go all out
The club can't even handle me right now
(Eh, yea-ei-yeaaah, eh, yea-ei-yeaaah, eh, yea-yeaaaah)
The club can't even handle me right now
(Eh, yea-ei-yeaaah, eh, yea-ei-yeaaah, eh, yea-yeaaaah)
Haha! Can't nothin' handle me right now!
I see you, D. Guetta, let's get 'em!
Hey
I own the night and I don't need no help
Gotta be the feeling that Scarface felt
Stuntin' gone wild, can't handle this playa
Life of the club arrogant like yeah
Talk like money so the girls just melt
One too many, all on me like twelve
Look like cash and they all just stare
Bottles, models, standin' on chairs
Ball out 'cause that's the business
All out, it's so ridiculous
Zone out, so much attention
Scream out, I'm in the building, hey!
They watchin', I know this
I'm rockin', I'm rollin'
I'm holdin', I know it, you know it

You know I know how
To make 'em stop and stare as I zone out
The club can't even handle me right now
Watchin' you watchin' me, I go all out
The club can't even handle me right now
(Eh, yea-ei-yeaaah, eh, yea-ei-yeaaah, eh, yea-yeaaaah)
The club can't even handle me right now
(Eh, yea-ei-yeaaah, eh, yea-ei-yeaaah, eh, yea-yeaaaah)
You might also like
Hey
Still feelin' myself, I'm like outta control
Can't stop now, more shots, let's go
Ten more rounds, can I get a K.O.?
Paparazzi tryna make me pose
Came to party 'til I can't no more
Celebrate 'cause that's all I know
Tip the groupies takin' off they clothes
Grand finale like Super Bowl
Go hard, I run the show
That's right, wild out, got money to blow
More lights, more ice, when I walk in the door
No hype, do it big all over the globe
Yeah! I said it, go tell it
Confetti, who ready?
I'm ready! You ready? Let's get it!

You know I know how
To make 'em stop and stare as I zone out
The club can't even handle me right now
Watchin' you watchin' me, I go all out
The club can't even handle me right now
(Eh, yea-ei-yeaaah, eh, yea-ei-yeaaah, eh, yea-yeaaaah)
(Put your hands up!)
(Put your hands up!)
(Put your hands up!)
The club can't even handle me right now
(Eh, yea-ei-yeaaah, eh, yea-ei-yeaaah, eh, yea-yeaaaah)
(Put your hands up!)
(Put your hands up!)
(Put your hands up!)
You got me watchin' now (Yeah)
Got my attention now (Yeah)
Got everybody in the club wantin' to know now
I am a ladies' man, come and be my lady and
We can ball, so, ahh!
Bring ya body here, let me switch up ya atmosphere
Take you out of the club and up in my new Lear (Yeah)
Fly you all around the world
Whatchu want, baby girl?
Are you ready to go, now?

You know I know how
To make 'em stop and stare as I zone out
The club can't even handle me right now
Watchin' you watchin' me, I go all out
The club can't even handle me right now
(Eh, yea-ei-yeaaah, eh, yea-ei-yeaaah, eh, yea-yeaaaah)
(Put your hands up!)
(Put your hands up!)
(Put your hands up!)
The club can't even handle me right now
(Eh, yea-ei-yeaaah, eh, yea-ei-yeaaah, eh, yea-yeaaaah)

Put your hands up!
Let's celebrate now!
Put your hands up!
Put your hands up!
Let's celebrate now!
Put your hands up!
You know who shut 'em down!16Embed"
11,Marry You,Bruno Mars,"It's a beautiful night
We're looking for something dumb to do
Hey baby, I think I wanna marry you
Is it the look in your eyes
Or is it this dancing juice?
Who cares, baby? I think I wanna marry you

Well, I know this little chapel on the boulevard, we can go
No one will know
Oh, come on, girl
Who cares if we're trashed? Got a pocket full of cash we can blow
Shots of patron
And it's on, girl
Don't say no, no, no, no, no
Just say yeah, yeah, yeah, yeah, yeah
And we'll go, go, go, go, go
If you're ready, like I'm ready

'Cause it's a beautiful night
We're looking for something dumb to do
Hey baby, I think I wanna marry you
Is it the look in your eyes
Or is it this dancing juice?
Who cares, baby? I think I wanna marry you, oh

I'll go get a ring, let the choir bells sing, like ooh
So what you wanna do?
Let's just run, girl
If we wake up and you wanna break up, that's cool
No, I won't blame you
It was fun, girl

Don't say no, no, no, no, no
Just say yeah, yeah, yeah, yeah, yeah
And we'll go, go, go, go, go
If you're ready, like I'm ready
See Bruno Mars LiveGet tickets as low as $210You might also like
'Cause it's a beautiful night
We're looking for something dumb to do
Hey baby, I think I wanna marry you
Is it the look in your eyes
Or is it this dancing juice?
Who cares, baby? I think I wanna marry you

Just say, ""I do...""
Tell me right now, baby
Tell me right now, baby, baby
Just say, ""I do...""
Tell me right now, baby
Tell me right now, baby, baby

Oh, it's a beautiful night
We're looking for something dumb to do
Hey baby, I think I wanna marry you
Is it the look in your eyes
Or is it this dancing juice?
Who cares, baby? I think I wanna marry you44Embed"
12,Cooler Than Me - Single Mix,Mike Posner,"If I could write you a song to make you fall in love
I would already have you up under my arm
I used up all of my tricks, I hope that you like this
But you probably won't, you think you're cooler than me
You got designer shades just to hide your face
And you wear 'em around like you're cooler than me
And you never say hey or remember my name
And it's probably 'cause you think you're cooler than me

You got your high brow, shoes on your feet
And you wear 'em around like it ain't shit
But you don't know the way that you look
When your steps make that much noise, shh
I got you all figured out
You need everyone's eyes just to feel seen
Behind your make up
Nobody knows who you even are
Who do you think that you are?
If I could write you a song to make you fall in love
I would already have you up under my arm
I used up all of my tricks, I hope that you like this
But, you probably won't, you think you're cooler than me
You got designer shades just to hide your face
And you wear 'em around like you're cooler than me
And you never say hey or remember my name
And it's probably 'cause you think you're cooler than me

You, you, you got your high brow, switch in your walk
And you don't even look when you pass by
But you don't know the way that you look
When your steps make that much noise, shh
See, I got you all figured out
You need everyone's eyes just to feel seen
Behind your make up
Nobody knows who you even are
Who do you think that you are?

'Cause it sure seems (It sure seems) you got no doubts (No doubts)
But we all see (We all see) you got your head in the clouds

If I could write you a song to make you fall in love
I would already have you up under my arm (Under my arm)
I used up all of my tricks, I hope that you like this
But you probably won't, you think you're cooler than me
You got designer shades just to hide your face
And you wear 'em around like you're cooler than me
And you never say hey or remember my name
And it's probably 'cause you think you're cooler than meYou might also like1Embed"
13,Telephone,Lady Gaga,"Hello, hello, baby, you called? I can't hear a thing
I have got no service in the club, you say, say? (Say)
Wha-wha-what did you say, huh? You're breakin' up on me
Sorry, I cannot hear you, I'm kinda busy (I'm kinda busy)
K-kinda busy (I'm kinda busy), k-kinda busy (I'm kinda busy)
Sorry, I cannot hear you, I'm kinda busy
Just a second, it's my favorite song they're gonna play (Play)
And I cannot text you with a drink in my hand, eh
You should've made some plans with me, you knew that I was free
And now you won't stop callin' me, I'm kinda busy
Stop callin', stop callin', I don't wanna think anymore
I left my head and my heart on the dance floor
Stop callin', stop callin', I don't wanna talk anymore
I left my head and my heart on the dance floor

Eh, eh, eh, eh, eh, eh, eh, eh, eh, eh, eh
Stop telephonin' me!
Eh, eh, eh, eh, eh, eh, eh, eh, eh, eh (Stop telephonin' me)
I'm busy!
Eh, eh, eh, eh, eh, eh, eh, eh, eh, eh (I'm busy)
Stop telephonin' me!
Eh, eh, eh, eh, eh, eh, eh, eh, eh, eh, eh (Stop telephonin' me)

Can call all you want but there's no one home
And you're not gonna reach my telephone (No)
Out in the club and I'm sippin' that bub
And you're not gonna reach my telephone (No)
Can call all you want but there's no one home
And you're not gonna reach my telephone
Out in the club and I'm sippin' that bub
And you're not gonna reach my telephone
Boy, the way you blowin' up my phone
Won't make me leave no faster
Put my coat on faster, leave my girls no faster
I should've left my phone at home 'cause this is a disaster
Callin' like a collector
Sorry, I cannot answer
You might also like
It's not that I don't like you, I'm just at a party
And I am sick and tired of my phone r-ringin'
Sometimes I feel like I live in Grand Central S-Station (Station)
Tonight I'm not takin' no calls, 'cause I'll be dancin'
('Cause tonight I'm dancin') 'Cause I'll be dancin'
('Cause tonight I'm dancin') 'Cause I'll be dancin'
('Cause tonight I'm dancin')
Tonight I'm not takin' no calls, 'cause I'll be dancin'

Stop callin', stop callin', I don't wanna think anymore
I left my head and my heart on the dance floor
Stop callin', stop callin', I don't wanna talk anymore
I left my head and my heart on the dance floor
Stop callin', stop callin', I don't wanna think anymore
I left my head and my heart on the dance floor
Stop callin', stop callin', I don't wanna talk anymore
I left my head and my heart on the dance floor

Eh, eh, eh, eh, eh, eh, eh, eh, eh, eh, eh (Stop telephonin' me)
Stop telephonin' me!
Eh, eh, eh, eh, eh, eh, eh, eh, eh, eh (I'm busy)
I'm busy!
Eh, eh, eh, eh, eh, eh, eh, eh, eh, eh (Stop telephonin' me)
Stop telephonin' me, eh, eh eh, eh, eh!
Eh, eh, eh, eh, eh, eh, eh, eh, eh, eh, eh (I'm busy)
Can call all you want but there's no one home
And you're not gonna reach my telephone
'Cause I'm out in the club and I'm sippin' that bub
And you're not gonna reach my telephone
Can call all you want but there's no one home
And you're not gonna reach my telephone
'Cause I'm out in the club and I'm sippin' that bub
And you're not gonna reach my telephone

(D-D-D-D-D-D-D-D-Darkchild)
My telephone, m-m-my telephone
'Cause I'm out in the club and I'm sippin' that bub
And you're not gonna reach my telephone
My telephone, m-m-my telephone
'Cause I'm out in the club and I'm sippin' that bub
And you're not gonna reach my telephone
We're sorry- We're sorry
The number you have reached is not in service at this time
Please check the number or try your call again36Embed"
14,Like A G6,Far East Movement,"Poppin bottles in the ice, like a blizzard
When we drink we do it right, gettin' slizard
Sippin sizzurp in my ride, like Three 6
Now I'm feelin' so fly like a G6
Like a G6, like a G6
Now I'm feelin' so fly like a G6
Like a G6, like a G6
Now I'm feelin' so fly like a G6

Gimme that Moet
